,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11000,11000,39288993,20241221052002,Cozy studio apartment in great neighborhood,"Clean, quiet and comfortable studio apartment. The apartment faces a courtyard in a well-maintained building. There are local bakeries, cafes and supermarkets in the neighborhood.",6110838,Rachele,f,1.0,1.0,t,t,52.55260054705035,13.4061628908067,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,30,92,30,30,92,92,30.0,92.0,,t,0,0,20,102,7,4,0,5.0,5.0,5.0,4.86,5.0,4.86,4.71,03/Z/RA/005015-19,f,1,1,0,0,0.27
11200,11200,44387740,20241221052002,Cozy boho apartment in Neukölln,Renting out my cute little apartment in the center of Neukölln. I hope my colorful walls and the collection of decor from all over the world will give you a warm and homey feeling away from home. If you intent on staying for a longer time period (more then two weeks) you can message me about a discount.,35187384,Maria,f,1.0,1.0,t,t,52.48057,13.43078,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,5,90,1,5,90,90,5.0,90.0,,t,28,38,68,140,18,9,0,4.67,4.89,4.28,4.67,4.89,4.94,4.56,08/Z/RA/013225-23,f,1,1,0,0,0.34
11400,11400,27087980,20241221052002,Berlin Room close to Alexanderplatz,"Bright and spacious room to rent in the beloved Bötzowkiez in Prenzlauer Berg, within an easy reach to the key tourist attractions - tram line within a short walk will get you to Alexanderplatz in 10 minutes and from there, anywhere you like. <br /><br />If you happen to be here for the Berlinale, the tram will take you to the main festival locations around Potsdamerplatz.<br /><br /><br />Hope you enjoy your Berlin experience, starting with a cosy stay in Prenzlauer Berg.",35542134,Agata,f,1.0,1.0,t,t,52.5364079326763,13.438294246866132,Private room in condo,Private room,1,1.0,1.0,1.0,2,5,1,2,5,5,2.0,5.0,,t,18,47,65,167,90,31,2,5.0,4.98,4.94,4.98,5.0,4.92,4.98,03/Z/AZ/003769-18,f,1,0,1,0,1.4
11600,11600,942487538501334595,20241221052002,3-Zimmer-Altbauwohnung (ACR),"Our holiday apartment is located in the former district of Tiergarten between Spandauer Schifffahrtskanal and Fritz Schloß-Park. In an old building, on the 2nd floor behind soundproof windows, you will find an apartment that offers you on 88 square meters of 3 bedrooms, a large kitchen-living room and a completely renovated bathroom. Two bus lines stop right outside the door, which will take you to the western center or the main train station with the government district behind it in a few minutes.",302954580,Oliver,f,8.0,9.0,t,t,52.5353078,13.3566284,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,5,14,2,5,14,14,5.0,14.0,,t,25,55,82,82,8,6,0,4.0,3.88,3.88,4.5,4.63,4.0,4.0,01/Z/NA/005060-16,f,7,7,0,0,0.54
11800,11800,48988682,20241221052002,Family friendly home with a park-facing balcony,"A 100sqm family friendly apartment in the heart of Kreuzberg. We have all the things a small family visiting Berlin might need and offer a beautiful 4th floor apartment (with a lift) that has lots of light and a view over the park. <br /><br />We are nearby to lots of cafes, public transport. <br /><br />Excellent Wifi throughout.",7644021,James,f,1.0,1.0,t,t,52.49881,13.43493,Entire condo,Entire home/apt,4,,2.0,,6,1125,5,6,1125,1125,6.0,1125.0,,t,7,7,7,7,15,6,0,5.0,5.0,4.4,4.87,5.0,4.67,4.67,02/z/ra/015797-22,f,1,1,0,0,0.5
12000,12000,937557263289597139,20241221052002,Serviced Comfort Room im Herzen Berlin‘s,"Welcome to the heart of Berlin-Kreuzberg! Our stylish serviced apartment offers a central location, the typical Berlin old building flair and an excellent connection to public transport. Experience the vibrant city life of the cultural metropolis of Berlin. They include a cozy double bedroom, workspace, relaxation chair and water dispenser, attached is a modern bathroom with rain shower. Book now for an unforgettable stay in Berlin!",519392121,Till,t,3.0,3.0,t,t,52.50220294409597,13.428000611429486,Private room in rental unit,Private room,2,1.0,1.0,2.0,2,365,2,5,365,365,2.1,365.0,,t,14,19,19,19,73,54,2,4.92,4.89,4.96,4.85,4.95,4.81,4.73,02/Z/AZ/017500-23,f,3,0,3,0,4.44
12200,12200,22100349,20241221052002,Bright flat in the heart of Schillerkiez,"Cosy, renovated and very bright 2 bedroom-flat of 55sm with a balcony in a charming old building in the hip and cute neighborhood Schillerkiez. Only 5 min. walking from 2 parks, it has the perfect infrastructure including a lot of nice restaurants, bars, and cafés perfect for brunch, 3 supermarkets, 2 subway stops, 1 bus stop and the S-Bahn nearby, and a food market on the weekend around the corner. You couldn't ask for more. Perfect for families with children.",8486798,Theodora,f,2.0,5.0,t,t,52.47636,13.42545,Entire rental unit,Entire home/apt,4,,2.0,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,f,2,1,1,0,0.02
12400,12400,1024084998045737747,20241221052002,Wohlfühloase in Berlin Friedenau,"Quiet 2 room apartment with two beds in a central location near shopping streets and Grunewald, public university in the neighborhood, public transport, bus, U Bhan and S-Bahn nearby. Cozy apartment on the ground floor",9567249,Thomas,f,1.0,1.0,t,t,52.470476102198454,13.320128877447022,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,92,92,90,92,92,92,92.0,92.0,,t,19,49,79,169,0,0,0,,,,,,,,"First name and Last name: Thomas Schwarz <br/> Contact address: Laubacher Str.48a, 14197, Berlin, Berlin <br/>Listing address: Laubacher Str.48a, 14197, Berlin, Berlin",f,1,1,0,0,
12600,12600,16882223,20241221052002,modern 75qm design flat in the heart of Berlin,"Our unique and bright flat, with wooden floors and a little balcony is located in the trendy and cosy district Prenzlauer Berg. The apartment is very spacious, with lots of morning sunlight and fully furnished with everything you need in order to have a wonderful stay. Overlooking the calm and famous Lychener Street the apartment has a huge living room with piano, a large dining room with open kitchen, a separate bedroom with a double bed (can be separated) and a bathroom with tub and shower.",112571636,Elisabeth,f,1.0,1.0,t,t,52.54512,13.41947,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,10,40,10,10,40,40,10.0,40.0,,t,4,34,54,233,23,5,0,4.78,4.78,4.65,4.87,4.78,4.96,4.65,03/Z/ZA/002520-16,f,1,1,0,0,0.24
12800,12800,27667172,20241221052002,* gemütliches Bett im schönen Wedding *,"Very cozy bedroom with comfortable double bed. <br />Spacious kitchen with plenty of space for cooking, sitting and spending time. <br />Non-smoking household.<br /><br />Good shopping in the area, within walking distance. <br />Very nice Volkspark Rehberge with adjoining lake and outdoor cinema also right around the corner. Cafes and bars in the neighborhood and next door.<br />Bus line 221 almost right outside the front door ( -> BHF Zoo 16 minutes, -> BHF Friedrichstraße 19 minutes)",16914022,Marta,f,1.0,1.0,t,t,52.55229,13.34051,Private room in rental unit,Private room,2,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,44,0,0,5.0,4.98,5.0,4.98,5.0,4.73,4.93,,f,1,0,1,0,0.57
13000,13000,48290893,20241221052002,"Near to Airport BER, Tesla, Adlershof & CityCenter","Johannisthal is a district that is quiet, but easily accessible by the motorway connection (20 min. from the center) and bus stop in front of the door (in 3 minutes on the S-Bahn) to Alexanderplatz or the center.<br />The room is located in a typical Berlin old building from 1903, which was renovated. You have fast internet and a comfortable, super large bed here where you can end the day.<br />Nearby is the Adlershof Technology Centre and the airport.",387607284,Tobias,f,1.0,1.0,t,t,52.44416,13.50225,Private room in condo,Private room,2,1.0,1.0,1.0,2,21,2,2,21,21,2.0,21.0,,t,28,58,88,178,24,8,0,5.0,5.0,5.0,5.0,4.96,4.92,5.0,09/Z/AZ/002405-20,f,1,0,1,0,0.52
13200,13200,2118068,20241221052002,Industrial Design Studio Ap. in the Heart of MItte,"Location location location. This Delux Apartment has a perfect location, lying in a part of Mitte that is just close enough to the hotel area but also in a cool street with lots of new cafes and restaurants that makes you feel like a real Berliner. I'm very close to the U6 station, two stations away from Friedrichstrasse, so transportation is easy. The apartment was renovated in 2013 by an architect and furniture were bought in high end shops.",308441,Amit,f,6.0,10.0,t,t,52.53334,13.38104,Entire condo,Entire home/apt,5,1.0,1.0,2.0,4,1125,2,4,1125,1125,4.0,1125.0,,t,18,48,78,353,452,61,4,4.71,4.8,4.59,4.78,4.82,4.86,4.66,01/Z/AF/002147-14,f,3,3,0,0,3.56
13400,13400,45851885,20241221052002,Sweet home,"A cozy flat near KDW. It is quite central at Wittenbergplatz. It is close to Edeka, all the shopping malls, Zoo, Bars and fancy restaurants.",130862348,Moeez,f,1.0,1.0,t,t,52.50301,13.34491,Entire rental unit,Entire home/apt,2,,,,92,365,92,92,365,365,92.0,365.0,,t,0,0,0,0,0,0,0,,,,,,,,,t,1,1,0,0,
13600,13600,20561833,20241221052002,Luxury 150m2 Residence Old City Berlin,"Designer Appartement at the new luxury residence. Very central location in a quiet save street, next to Spree river, all museums, Berlin Cathedral, Gendarmenmarkt and all historic sights. Berlin city wall from 13th Century and Kloster church are just next to the building, this is the oldest and the most historical part of Berlin. It's across from ministry of internal affairs (24hours police surveillance), Kloster Straße U-Bahn is outside of the building, Alexanderplatz train station 700m away.",62055673,Alice,t,5.0,5.0,t,t,52.51756,13.41168,Entire condo,Entire home/apt,6,2.0,3.0,3.0,2,1125,2,3,1125,1125,2.3,1125.0,,t,19,42,68,248,131,28,1,4.89,4.89,4.9,4.82,4.86,4.9,4.74,"First name and Last name: Lana Limper <br/> Contact address: Klosterstrasse 65, 10179, Berlin , Germany  <br/>Listing address: Klosterstrasse 65, 10179 , Berlin, Germany ",f,3,3,0,0,1.52
13800,13800,20570323,20241221052002,Rooftop apartment with spacious terrace,Lovely rooftop apartment with spacious terrace in Kreuzkölln,2295563,Frank,f,1.0,1.0,t,t,52.49176,13.42631,Entire rental unit,Entire home/apt,2,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.01
